id,title,slug,description,url,domain,workload
DHjhLqkyEeyxDg4ukgkVlw,Adding an Apigee X Environment and Group,googlecloud-adding-an-apigee-x-environment-and-group-d6gdo,,https://www.coursera.org/learn/googlecloud-adding-an-apigee-x-environment-and-group-d6gdo,,
uNHuZdyJEe62jQ6HK-YxMQ,Getting Started with AWS Audit Manager,aws-getting-started-with-aws-audit-manager,,https://www.coursera.org/learn/aws-getting-started-with-aws-audit-manager,,
b5IqXLpCEeur3A4kuEHU1w,Macroeconomic Financial Accounts,macroeconomic-financial-accounts,,https://www.coursera.org/learn/macroeconomic-financial-accounts,,
-Ph0DnwyEeaA7w6yFE2sWQ,HPV-Associated Oral and Throat Cancer: What You Need to Know,hpv-oral-throat-cancer,,https://www.coursera.org/learn/hpv-oral-throat-cancer,,
dBKsEnsLEeyRTg6FtAvfBw,Comment faire un Live sur Facebook,comment-faire-live-facebook,,https://www.coursera.org/learn/comment-faire-live-facebook,,
v4At8WNhEe6vIRJJdXRzxQ,Single-Phase Pipe Hydraulics and Pipe Sizing,single-phase-pipe-hydraulics-pipe-sizing,,https://www.coursera.org/learn/single-phase-pipe-hydraulics-pipe-sizing,,
wuqe8OLDEe6bqhL4v8f1dw,Coding With Cody Sourcegraph: Optimise Open Source Code,rudi-hinds-coding-with-cody-sourcegraph-optimise-open-source-code,,https://www.coursera.org/learn/rudi-hinds-coding-with-cody-sourcegraph-optimise-open-source-code,,
d8XENpAiEeyYbAqQh-YaNw,Crea una presentacion con Microsoft SWAY,crea-una-presentacion-con-microsoft-sway,,https://www.coursera.org/learn/crea-una-presentacion-con-microsoft-sway,,
OO8o_1wdEfCsFw6FoIz2Lw,Java SE 17 Developer (1Z0-829): Unit 4,pearson-java-se-17-developer-1z0-829-video-course-4-k4y0n,,https://www.coursera.org/learn/pearson-java-se-17-developer-1z0-829-video-course-4-k4y0n,,
TWLl9EGsEeyZlQoNyXy15Q,كيفية إضافة نماذج تنظيمية في تطبيق تريلو,how-to-add-organization-templates-on-trello-ar,,https://www.coursera.org/learn/how-to-add-organization-templates-on-trello-ar,,
7U36obXsEeiltQrMgsfOHg,Estrategia Empresarial,estrategia-empresarial,,https://www.coursera.org/learn/estrategia-empresarial,,
P1Nt1RCMEeufvRJbyH8Rtw,Introducción a los Data Lakes con Azure,data-lakes-azure,,https://www.coursera.org/learn/data-lakes-azure,,
d6HhKSKkEeqYXAq7I-rCSw,Mindfulness and Well-being: Foundations,foundations-of-mindfulness,,https://www.coursera.org/learn/foundations-of-mindfulness,,
VU38V-CTEeqIZhL-QD-oQQ,English and Academic Preparation - Grad Track,copy-of-glasscock,,https://www.coursera.org/learn/copy-of-glasscock,,
AlYOQjz6EfC0XA4malL3Jw,Cyber Security: Digital Forensics,cyber-security-digital-forensics,,https://www.coursera.org/learn/cyber-security-digital-forensics,,
xorgSiIvEey-7g6YTy-Atw,Formation COVID-19 pour personnels de santé,formation-covid-19-pour-personnels-de-sante,,https://www.coursera.org/learn/formation-covid-19-pour-personnels-de-sante,,
